,,,,,,,,June 1,,,,,,,,,,,,,,,,,,,,,,,,
Enterprise ID,Account,Team ID,Rooftop Name,Agent Opted,Go-Live Date,ARR,MRR,Days Live,# Total Leads,# Leads Interacted,% TOFU Capture,# Qualified Leads,# Transfers,% Transfers,# Appt Booked,% Appt Conversion,Quality,STL enabled?,Afterhours / Overflow / Roundrobin,Smartview Widget,Multiday followup,Coverage,Customer Sentiment,CPA,Apt value,ROI Multiple,ROI based RAG,Sorting RAG,Next Step Owner,Next Step Owner Team,Tasks to turn green,Avg lead/day
6548557c2,Wolfchase Honda & Nissan,405beccbe9,Wolfchase Honda,Sales Inbound,Feb 09,"$5,760",$480,112,1679,708,42.17%,459,29,4.10%,9,1.96%,,No,Overflow,No,No,,,$100.00,$900.00,1.88,Red,001-Red,,CSM,Enable Followups,56
6548557c2,Wolfchase Honda & Nissan,d14b8b8338,Wolfchase Nissan,Sales Inbound,Feb 09,"$5,760",$480,112,1071,464,43.32%,393,6,1.29%,13,3.31%,,No,Overflow,No,No,,,$100.00,"$1,300.00",2.71,Red,001-Red,,CSM,Enable Followups,36
c946af83e,Zeigler Hyundai of Racine,f618492d10,Zeigler Hyundai of Racine,Sales Inbound,May 05,"$5,550",$463,27,32,33,103.13%,3,1,3.03%,2,66.67%,,Check,Check,Check,Check,,,$100.00,$200.00,0.48,Red,001-Red,,CSM,Enable STL + Followups,1
c946af83e,Zeigler Hyundai of Racine,f618492d10,Zeigler Hyundai of Racine,Sales Outbound,May 05,"$5,550",$463,27,,1,,0,,,0,0.00%,,,,,,,,$250.00,$0.00,0.00,Red,,,,,0
c946af83e,Zeigler Hyundai of Racine,f618492d10,Zeigler Hyundai of Racine,Service Inbound,May 11,"$5,550",$463,21,11,11,100.00%,5,1,9.09%,3,60.00%,,,,,,,,$50,$214,0.46,Red,,,CSM,- Improve top the funnel,1
c946af83e,Zeigler Hyundai of Racine,f618492d10,Zeigler Hyundai of Racine,Service Outbound,May 11,"$5,550",$463,,Not service,Not service,Not service,Not service,Not service,Not service,Not service,,,,,,,,,,,,,,,,,#VALUE!
b81a8498a,CornHusker Group,37329f9976,CornHusker Nissan,Sales Outbound,May 15,"$4,800",$400,17,,0,,0,,,0,0.00%,,,,,,,,$250.00,$0.00,0.00,Red,,,,,0
b81a8498a,CornHusker Group,37329f9976,CornHusker Nissan,Service Inbound,May 15,"$4,800",$400,17,14,14,100.00%,11,0,0.00%,4,36.36%,,,,,,,,$50,$353,0.88,Red,,,CSM,- Improve top the funnel,1
b81a8498a,CornHusker Group,37329f9976,CornHusker Nissan,Service Outbound,May 15,"$4,800",$400,,Not service,Not service,Not service,Not service,Not service,Not service,Not service,,,,,,,,,,,,,,,,,#VALUE!
b81a8498a,CornHusker Group,3f96401f8d,Courtesy Ford,Sales Outbound,May 15,"$4,800",$400,17,,83,,18,,,0,0.00%,,,,,,,,$250.00,$0.00,0.00,Red,,,,,0
